linha,tipo_cartao,n
339 - Cj Veneza Tropical/M,Estudante,406
339 - Cj Veneza Tropical/M,Gratuidade,88
339 - Cj Veneza Tropical/M,Inteira,338
339 - Cj Veneza Tropical/M,Vale Transporte,517
33 - Corujao/Circular 1,Inteira,2
33 - Corujao/Circular 1,Vale Transporte,5
340 - Cj Itaperi,Estudante,400
340 - Cj Itaperi,Gratuidade,101
340 - Cj Itaperi,Inteira,367
340 - Cj Itaperi,Vale Transporte,566
341 - Cj Ceara/Centro/3a E,Estudante,1276
341 - Cj Ceara/Centro/3a E,Gratuidade,237
341 - Cj Ceara/Centro/3a E,Inteira,1427
341 - Cj Ceara/Centro/3a E,Vale Transporte,2253
342 - Parque Sao Vicente,Estudante,425
342 - Parque Sao Vicente,Gratuidade,160
342 - Parque Sao Vicente,Inteira,655
342 - Parque Sao Vicente,Vale Transporte,897
343 - Cj Ceara/Centro/2a,Estudante,1332
343 - Cj Ceara/Centro/2a,Gratuidade,288
343 - Cj Ceara/Centro/2a,Inteira,1379
343 - Cj Ceara/Centro/2a,Vale Transporte,2280
344 - Vila Betania/Paranga,Estudante,365
344 - Vila Betania/Paranga,Gratuidade,156
344 - Vila Betania/Paranga,Inteira,319
344 - Vila Betania/Paranga,Vale Transporte,573
345 - Cj Ceara/Siqueira,Estudante,760
345 - Cj Ceara/Siqueira,Gratuidade,319
345 - Cj Ceara/Siqueira,Inteira,1312
345 - Cj Ceara/Siqueira,Vale Transporte,1718
346 - Jardim Fluminense,Estudante,573
346 - Jardim Fluminense,Gratuidade,180
346 - Jardim Fluminense,Inteira,759
346 - Jardim Fluminense,Vale Transporte,961
347 - Cj Jose Walter/Paran,Estudante,705
347 - Cj Jose Walter/Paran,Gratuidade,179
347 - Cj Jose Walter/Paran,Inteira,688
347 - Cj Jose Walter/Paran,Vale Transporte,1263
348 - AV LINEU MACHADO/SP2,Estudante,165
348 - AV LINEU MACHADO/SP2,Gratuidade,12
348 - AV LINEU MACHADO/SP2,Inteira,127
348 - AV LINEU MACHADO/SP2,Vale Transporte,206
349 - Cj Veneza Tropical/M,Estudante,391
349 - Cj Veneza Tropical/M,Gratuidade,100
349 - Cj Veneza Tropical/M,Inteira,314
349 - Cj Veneza Tropical/M,Vale Transporte,498
34 - Corujao/Av. Paranjan,Estudante,7
34 - Corujao/Av. Paranjan,Gratuidade,1
34 - Corujao/Av. Paranjan,Inteira,16
34 - Corujao/Av. Paranjan,Vale Transporte,41
350 - Av. Jose Bastos,Estudante,815
350 - Av. Jose Bastos,Gratuidade,217
350 - Av. Jose Bastos,Inteira,725
350 - Av. Jose Bastos,Vale Transporte,1289
351 - Joquei/Bonsucesso,Estudante,521
351 - Joquei/Bonsucesso,Gratuidade,154
351 - Joquei/Bonsucesso,Inteira,427
351 - Joquei/Bonsucesso,Vale Transporte,683
353 - Parangaba/Parque Ver,Estudante,418
353 - Parangaba/Parque Ver,Gratuidade,102
353 - Parangaba/Parque Ver,Inteira,472
353 - Parangaba/Parque Ver,Vale Transporte,573
354 - CJ NOVO LAR/SIQUEIRA,Estudante,33
354 - CJ NOVO LAR/SIQUEIRA,Gratuidade,27
354 - CJ NOVO LAR/SIQUEIRA,Inteira,59
354 - CJ NOVO LAR/SIQUEIRA,Vale Transporte,82
355 - Siqueira/Jose Bastos,Estudante,1949
355 - Siqueira/Jose Bastos,Gratuidade,637
355 - Siqueira/Jose Bastos,Inteira,2565
355 - Siqueira/Jose Bastos,Vale Transporte,3897
356 - Genibau/Lagoa,Estudante,387
356 - Genibau/Lagoa,Gratuidade,68
356 - Genibau/Lagoa,Inteira,427
356 - Genibau/Lagoa,Vale Transporte,634
357 - Cj Ceara/Granja Lisb,Estudante,501
357 - Cj Ceara/Granja Lisb,Gratuidade,137
357 - Cj Ceara/Granja Lisb,Inteira,533
357 - Cj Ceara/Granja Lisb,Vale Transporte,722
359 - Santa Tereza,Estudante,344
359 - Santa Tereza,Gratuidade,178
359 - Santa Tereza,Inteira,424
359 - Santa Tereza,Vale Transporte,639
35 - Corujao/Av. Paranjan,Estudante,6
35 - Corujao/Av. Paranjan,Inteira,26
35 - Corujao/Av. Paranjan,Vale Transporte,46
360 - Siqueira/Joao Pessoa,Estudante,1657
360 - Siqueira/Joao Pessoa,Gratuidade,445
360 - Siqueira/Joao Pessoa,Inteira,1483
360 - Siqueira/Joao Pessoa,Vale Transporte,2362
361 - Siqueira/OP/Parangab,Estudante,311
361 - Siqueira/OP/Parangab,Gratuidade,146
361 - Siqueira/OP/Parangab,Inteira,397
361 - Siqueira/OP/Parangab,Vale Transporte,444
